Identifiant borne;Nom de la station;Type de connecteur;Statut de disponibilité;Présence câble attaché;Numéro de la voie;Ouverture au service commercial;Nom du réseau de charge;Propriétaire des bornes;Intitulé de la voie;Code postal;Ville;Pays;Coordonnées géographiques
FR*V75*EBELI*10*1*3;AVENUE DU PÈRE LACHAISE;T3;Hors communication;Non;13;Oui;BELIB;;AVENUE DU PÈRE LACHAISE;75020;Paris;France;48.86424,2.397724
FR*V75*EBELI*23*1*1;RUE SAINT MAUR;CHAdeMO;Hors communication;Oui;94;Oui;BELIB;;Rue Saint-Maur;75011;Paris;France;48.865358,2.3779388
FR*V75*EBELI*23*1*1;RUE SAINT MAUR;T3;Hors communication;Non;94;Oui;BELIB;;Rue Saint-Maur;75011;Paris;France;48.865358,2.3779388
FR*V75*EBELI*22*1*1;RUE LECOURBE;CHAdeMO;En diagnostic;Oui;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*19*1*3;RUE DE CRIMEE;Combo;Disponible;Oui;27;Oui;BELIB;;RUE DE CRIMEE;75019;Paris;France;48.877409,2.392178
FR*V75*EBELI*33*1*3;RUE DANTON;Combo;Disponible;Oui;7;Oui;BELIB;;RUE DANTON;75006;Paris;France;48.8524588,2.3414834
FR*V75*EBELI*33*1*1;RUE DANTON;T2;Disponible;Non;7;Oui;BELIB;;RUE DANTON;75006;Paris;France;48.8524588,2.3414834
FR*V75*EBELI*34*1*3;RUE DE RENNES;Combo;Hors communication;Oui;66;Oui;BELIB;;RUE DE RENNES;75006;Paris;France;48.8521255,2.3313459
FR*V75*EBELI*52*1*3;RUE FABERT;T2;Hors communication;Non;22;Oui;BELIB;;RUE FABERT;75007;Paris;France;48.86154,2.31159
FR*V75*EBELI*65*1*3;RUE DE MEDICIS;CHAdeMO;Hors communication;Oui;11;Oui;BELIB;;RUE DE MEDICIS;75006;Paris;France;48.84824,2.339865
FR*V75*EBELI*83*1*1;BOULEVARD SERURIER;T2;Disponible;Non;54;Oui;BELIB;;BOULEVARD SERURIER;75019;Paris;France;48.880421,2.398476
FR*V75*EBELI*60*1*3;AVENUE GAMBETTA;T3;Disponible;Non;227;Oui;BELIB;;AVENUE GAMBETTA;75020;Paris;France;48.874134,2.405196
FR*V75*EBELI*95*1*2;Paris - avenue iena;E/F;Hors communication;Non;37;Oui;BELIB;;Avenue iena;75016;Paris;France;48.868511,2.295469
FR*V75*EBELI*16*1*3;RUE CAULAINCOURT;CHAdeMO;Hors communication;Oui;103;Oui;BELIB;;RUE CAULAINCOURT;75018;Paris;France;48.889731,2.33891
FR*V75*EBELI*64*1*3;52 RUE ETIENNE MARCEL;E/F;Disponible;Non;52;Oui;BELIB;;RUE ETIENNE MARCEL;75002;Paris;France;48.865788,2.342244
FR*V75*EBELI*64*1*3;52 RUE ETIENNE MARCEL;T3;Disponible;Non;52;Oui;BELIB;;RUE ETIENNE MARCEL;75002;Paris;France;48.865788,2.342244
FR*V75*EBELI*53*1*3;RUE DESNOUETTES;CHAdeMO;En diagnostic;Oui;55;Oui;BELIB;;RUE DESNOUETTES;75015;Paris;France;48.835709,2.286912
FR*V75*EBELI*66*1*1;RUE DE SEVRES;Combo;Hors communication;Oui;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*82*1*1;RUE RIQUET;Combo;Neutralisé;Oui;39;Oui;BELIB;;RUE RIQUET;75019;Paris;France;48.889011,2.371768
FR*V75*EBELI*37*1*1;RUE DU BAC;Combo;Disponible;Oui;35;Oui;BELIB;;RUE DU BAC;75007;Paris;France;48.857124,2.327753
FR*V75*EBELI*37*1*3;RUE DU BAC;T2;Disponible;Non;35;Oui;BELIB;;RUE DU BAC;75007;Paris;France;48.857124,2.327753
FR*V75*EBELI*20*1*1;81 RUE DE ROME;T3;Disponible;Non;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*92*1*3;Rue de La Convention;E/F;Disponible;Non;99;Oui;BELIB;;Rue de la Convention;75015;Paris;France;48.841663,2.286931
FR*V75*EBELI*86*1*1;RUE ORDENER;E/F;Disponible;Non;108;Oui;BELIB;;RUE ORDENER;75018;Paris;France;48.89061,2.35423
FR*V75*EBELI*86*1*3;RUE ORDENER;T2;Disponible;Non;108;Oui;BELIB;;RUE ORDENER;75018;Paris;France;48.89061,2.35423
FR*V75*EBELI*17*1*3;RUE CHANGARNIER;T2;Disponible;Non;4;Oui;BELIB;;Rue Changarnier;75012;Paris;France;48.8452653,2.4112383
FR*V75*EBELI*17*1*2;RUE CHANGARNIER;E/F;Disponible;Non;4;Oui;BELIB;;Rue Changarnier;75012;Paris;France;48.8452653,2.4112383
